label,message,length
1,"['england', 'v', 'macedonia', '-', 'dont', 'miss', 'goals/team', 'news', '.', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'try', ':', 'wales', ',', 'scotland', '4txt/ú1.20', 'poboxox36504w45wq', '16+']",25
0,"['is', 'seriously', 'spell', 'name', '?']",5
0,"['i', '‘', 'going', 'try', '2', 'month', 'ha', 'ha', 'joking']",9
0,"['so', 'ü', 'pay', 'first', 'lar', '...', 'then', 'da', 'stock', 'comin', '...']",11
0,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', '.', 'ard', '3', 'smth', 'lor', '.', 'u', 'finish', 'ur', 'lunch', 'already', '?']",18
0,"['ffffffffff', '.', 'alright', 'way', 'i', 'meet', 'sooner', '?']",8
0,"['just', 'forced', 'eat', 'slice', '.', 'i', ""'m"", 'really', 'hungry', 'tho', '.', 'this', 'suck', '.', 'mark', 'getting', 'worried', '.', 'he', 'know', 'i', ""'m"", 'sick', 'i', 'turn', 'pizza', '.', 'lol']",28
0,"['lol', 'always', 'convincing', '.']",4
0,"['did', 'catch', 'bus', '?', 'are', 'frying', 'egg', '?', 'did', 'make', 'tea', '?', 'are', 'eating', 'mom', ""'s"", 'left', 'dinner', '?', 'do', 'feel', 'love', '?']",23
0,"['i', ""'m"", 'back', '&', 'amp', ';', ""'re"", 'packing', 'car', ',', 'i', ""'ll"", 'let', 'know', ""'s"", 'room']",16
0,"['ahhh', '.', 'work', '.', 'i', 'vaguely', 'remember', '!', 'what', 'feel', 'like', '?', 'lol']",13
0,"['wait', ""'s"", 'still', 'clear', ',', 'sure', 'sarcastic', ""'s"", 'x', ""n't"", 'want', 'live', 'u']",13
0,"['yeah', 'got', '2', 'v', 'apologetic', '.', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', '.', 'till', '2', '!', 'but', 'wo', ""n't"", 'go', '!', 'not', 'badly', 'cheer', '.', 'you', '?']",29
0,"['k', 'tell', 'anything', '.']",4
0,"['for', 'fear', 'fainting', 'housework', '?', 'quick', 'cuppa']",7
1,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '£5/month', 'please', 'confirm', 'replying', 'yes', 'no', '.', 'if', 'reply', 'no', 'charged']",17
0,"['yup', '...', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'ü', '...', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']",17
0,"['oops', ',', 'i', ""'ll"", 'let', 'know', 'roommate', ""'s"", 'done']",9
0,"['i', 'see', 'letter', 'b', 'car']",5
0,"['anything', 'lor', '...', 'u', 'decide', '...']",6
0,"['hello', '!', 'how', ""'s"", 'saturday', 'go', '?', 'i', 'texting', 'see', ""'d"", 'decided', 'anything', 'tomo', '.', 'not', ""'m"", 'trying', 'invite', 'anything', '!']",21
0,"['pls', 'go', 'ahead', 'watt', '.', 'i', 'wanted', 'sure', '.', 'do', 'great', 'weekend', '.', 'abiola']",14
0,"['did', 'i', 'forget', 'tell', '?', 'i', 'want', ',', 'i', 'need', ',', 'i', 'crave', '...', 'but', '...', 'i', 'love', 'sweet', 'arabian', 'steed', '...', 'mmmmmm', '...', 'yummy']",25
1,"['07732584351', '-', 'rodger', 'burns', '-', 'msg', '=', 'we', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', '+', 'free', 'camcorder', '.', 'please', 'call', '08000930705', 'delivery', 'tomorrow']",24
0,"['who', 'are', 'you', 'seeing', '?']",5
0,"['great', '!', 'i', 'hope', 'like', 'man', 'well', 'endowed', '.', 'i', '&', 'lt', ';', '#', '&', 'gt', ';', 'inch', '...']",19
0,"['no', 'call', '..', 'message', '..', 'missed', 'call']",7
0,"['did', ""n't"", 'get', 'hep', 'b', 'immunisation', 'nigeria', '.']",8
0,"['fair', 'enough', ',', 'anything', 'going', '?']",6
0,"['yeah', 'hopefully', ',', 'tyler', 'ca', ""n't"", 'i', 'could', 'maybe', 'ask', 'around', 'bit']",12
0,"['u', ""n't"", 'know', 'stubborn', 'i', '.', 'i', ""n't"", 'even', 'want', 'go', 'hospital', '.', 'i', 'kept', 'telling', 'mark', 'i', ""'m"", 'weak', 'sucker', '.', 'hospitals', 'weak', 'sucker', '.']",26
0,"['what', 'thinked', '.', 'first', 'time', 'saw', 'class', '.']",8
0,"['a', 'gram', 'usually', 'run', 'like', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', '&', 'lt', ';', '#', '&', 'gt', ';']",29
0,"['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', ""'s"", 'crashing', 'place', 'tonight']",11
0,"['wow', '.', 'i', 'never', 'realized', 'embarassed', 'accomodations', '.', 'i', 'thought', 'liked', ',', 'since', 'best', 'could', 'always', 'seemed', 'happy', '``', 'cave', ""''"", '.', 'i', ""'m"", 'sorry', 'i', ""n't"", ""n't"", 'give', '.', 'i', ""'m"", 'sorry', 'offered', '.', 'i', ""'m"", 'sorry', 'room', 'embarassing', '.']",41
1,"['sms', '.', 'ac', 'sptv', ':', 'the', 'new', 'jersey', 'devils', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', '.', 'correct', 'incorrect', '?', 'end', '?', 'reply', 'end', 'sptv']",24
0,"['do', 'know', 'mallika', 'sherawat', 'yesterday', '?', 'find', '@', '&', 'lt', ';', 'url', '&', 'gt', ';']",15
1,"['congrats', '!', '1', 'year', 'special', 'cinema', 'pas', '2', '.', 'call', '09061209465', '!', 'c', 'suprman', 'v', ',', 'matrix3', ',', 'starwars3', ',', 'etc', '4', 'free', '!', 'bx420-ip4-5we', '.', '150pm', '.', 'dont', 'miss', '!']",31
0,"['sorry', ',', 'i', ""'ll"", 'call', 'later', 'meeting', '.']",8
0,"['tell', 'reached']",2
0,"['yes', '..', 'gauti', 'sehwag', 'odi', 'series', '.']",7
0,"['your', 'gon', 'na', 'pick', '$', '1', 'burger', 'way', 'home', '.', 'i', 'ca', ""n't"", 'even', 'move', '.', 'pain', 'killing', '.']",19
0,"['ha', 'ha', 'ha', 'good', 'joke', '.', 'girls', 'situation', 'seeker', '.']",10
0,"['its', 'part', 'checking', 'iq']",4
0,"['sorry', 'roommate', 'took', 'forever', ',', 'ok', 'i', 'come', '?']",9
0,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', '.', 'he', 'said', 'cut', 'look', 'nice', '.']",21
1,"['as', 'valued', 'customer', ',', 'i', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'no', '.', 'awarded', '£1500', 'bonus', 'prize', ',', 'call', '09066364589']",20
0,"['today', '``', 'song', 'dedicated', 'day', '..', ""''"", 'which', 'song', 'u', 'dedicate', '?', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply', '...']",19
1,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', ',', 'aco', '&', 'entry41', 'or', '£1000', '.', 'to', 'claim', 'txt', 'dis', '87121', '18+6', '*', '£1.50', '(', 'morefrmmob', '.', 'shracomorsglsuplt', ')', '10', ',', 'ls1', '3aj']",31
1,"['did', 'hear', 'new', '``', 'divorce', 'barbie', ""''"", '?', 'it', 'come', 'ken', ""'s"", 'stuff', '!']",14
0,"['i', 'plane', 'give', 'month', 'end', '.']",6
0,"['wah', 'lucky', 'man', '...', 'then', 'save', 'money', '...', 'hee', '...']",10
0,"['finished', 'class', '.']",3
0,"['hi', 'babe', 'im', 'at', 'home', 'now', 'wan', 'na', 'do', 'something', '?', 'xx']",12
0,"['k', '..', 'k', ':', ')', '?', 'performed', '?']",8
0,"['u', 'call', '...']",3
0,"['i', 'waiting', 'machan', '.', 'call', 'free', '.']",7
0,"['thats', 'cool', '.', 'gentleman', 'treat', 'dignity', 'respect', '.']",8
0,"['i', 'like', 'people', 'much', ':', ')', 'shy', 'pa', '.']",9
0,"['does', 'operate', '&', 'lt', ';', '#', '&', 'gt', ';']",9
0,"['its', '.', 'still', 'looking', 'job', '.', 'how', 'much', 'ta', ""'s"", 'earn', '.']",12
0,"['sorry', ',', 'i', ""'ll"", 'call', 'later']",6
0,"['k.', 'did', 'call', 'ah', '?']",5
0,"['ok', 'way', 'home', 'hi', 'hi']",5
0,"['you', 'place', 'man']",3
0,"['yup', 'next', 'stop', '.']",4
0,"['i', 'call', 'later', ',', ""n't"", 'network', '.', 'if', 'urgnt', ',', 'sm', '.']",12
0,"['for', 'real', 'u', 'getting', 'yo', '?', 'i', 'need', '2', 'ticket', 'one', 'jacket', 'i', ""'m"", 'done', '.', 'i', 'already', 'used', 'multis', '.']",21
0,"['yes', 'i', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'i', ""'m"", 'back', 'bed', '.', 'double', 'coin', 'factory', '.', 'i', 'got', 'ta', 'cash', 'nitros', '.']",24
0,"['i', ""'m"", 'really', 'still', 'tonight', 'babe']",6
0,"['ela', 'kano.', ',', 'il', 'download', ',', 'come', 'wen', 'ur', 'free', '..']",11
0,"['yeah', '!', 'don', '‘', 'stand', 'close', 'tho-', '‘', 'catch', 'something', '!']",11
0,"['sorry', 'pain', '.', 'is', 'ok', 'meet', 'another', 'night', '?', 'i', 'spent', 'late', 'afternoon', 'casualty', 'mean', ""n't"", 'done', 'stuff42moro', 'includes', 'time', 'sheet', '.', 'sorry', '.']",24
0,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'see', 'u', 'smiling', '!', '!']",23
1,"['please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am-9pm', 'won', 'guaranteed', '£1000', 'cash', '£5000', 'prize', '!']",16
0,"['havent', 'planning', 'buy', 'later', '.', 'i', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', '.', 'u', 'finish', 'work', 'already', '?']",20
1,"['your', 'free', 'ringtone', 'waiting', 'collected', '.', 'simply', 'text', 'password', '``', 'mix', ""''"", '85069', 'verify', '.', 'get', 'usher', 'britney', '.', 'fml', ',', 'po', 'box', '5249', ',', 'mk17', '92h', '.', '450ppw', '16']",30
0,"['watching', 'telugu', 'movie', '..', 'wat', 'abt', 'u', '?']",8
0,"['see', '.', 'when', 'finish', 'load', 'loan', 'pay']",7
0,"['hi', '.', 'wk', 'ok', '-', 'hols', '!', 'yes', 'bit', 'run', '.', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', '.', 'does', 'cause', 'prob', 'u', '?', ""''""]",28
0,"['i', 'see', 'cup', 'coffee', 'animation']",5
0,"['please', ""n't"", 'text', 'anymore', '.', 'i', 'nothing', 'else', 'say', '.']",10
0,"['okay', 'name', 'ur', 'price', 'long', 'legal', '!', 'wen', 'i', 'pick', '?', 'y', 'u', 'ave', 'x', 'am', 'xx']",17
0,"['i', ""'m"", 'still', 'looking', 'car', 'buy', '.', 'and', 'gone', '4the', 'driving', 'test', 'yet', '.']",14
0,"['as', 'per', 'request', ""'melle"", 'melle', '(', 'oru', 'minnaminunginte', 'nurungu', 'vettam', ')', ""'"", 'set', 'callertune', 'callers', '.', 'press', '*', '9', 'copy', 'friend', 'callertune']",22
0,"['wow', '.', 'you', ""'re"", 'right', '!', 'i', ""n't"", 'mean', '.', 'i', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', ',', 'something', 'changed', '.', 'cuz', 'signin', 'page', 'still', 'say', 'boston', '.']",30
0,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",7
0,"['thanks', 'lot', 'wish', 'birthday', '.', 'thanks', 'making', 'birthday', 'truly', 'memorable', '.']",11
0,"['aight', ',', 'i', ""'ll"", 'hit', 'i', 'get', 'cash']",8
0,"['how', 'would', 'ip', 'address', 'test', 'considering', 'computer', ""n't"", 'minecraft', 'server']",10
0,"['i', 'know', '!', 'grumpy', 'old', 'people', '.', 'my', 'mom', 'like', 'better', 'lying', '.', 'then', 'i', 'always', 'one', 'play', 'joke', '...']",20
0,"['dont', 'worry', '.', 'i', 'guess', ""'s"", 'busy', '.']",8
0,"['what', 'plural', 'noun', 'research', '?']",5
0,"['going', 'dinner.msg', '.']",3
0,"['i', ""'m"", 'ok', 'wif', 'co', 'like', '2', 'try', 'new', 'thing', '.', 'but', 'scared', 'u', 'dun', 'like', 'mah', '.', 'cos', 'u', 'said', 'loud', '.']",23
1,"['gent', '!', 'we', 'trying', 'contact', '.', 'last', 'weekend', 'draw', 'show', '£1000', 'prize', 'guaranteed', '.', 'call', '09064012160', '.', 'claim', 'code', 'k52', '.', 'valid', '12hrs', '.', '150ppm']",25
0,"['wa', ',', 'ur', 'openin', 'sentence', 'formal', '...', 'anyway', ',', ""'m"", 'fine', ',', 'juz', 'tt', ""'m"", 'eatin', 'much', 'n', 'puttin', 'weight', '...', 'haha', '...', 'so', 'anythin', 'special', 'happened', '?']",28
0,"['as', 'i', 'entered', 'cabin', 'pa', 'said', ',', '``', 'happy', ""b'day"", 'boss', '!', '!', ""''"", '.', 'i', 'felt', 'special', '.', 'she', 'askd', '4', 'lunch', '.', 'after', 'lunch', 'invited', 'apartment', '.', 'we', 'went', '.']",32
1,"['you', 'winner', 'u', 'specially', 'selected', '2', 'receive', '£1000', '4', '*', 'holiday', '(', 'flight', 'inc', ')', 'speak', 'live', 'operator', '2', 'claim', '0871277810910p/min', '(', '18+', ')']",24
0,"['goodo', '!', 'yes', 'must', 'speak', 'friday', '-', 'egg-potato', 'ratio', 'tortilla', 'needed', '!']",12
0,"['hmm', '...', 'uncle', 'informed', ""'s"", 'paying', 'school', 'directly', '.', 'so', 'pls', 'buy', 'food', '.']",14
1,"['private', '!', 'your', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeemed', 'bonus', 'points', '.', 'to', 'claim', 'call', '08719180248', 'identifier', 'code', ':', '45239', 'expires']",22
1,"['urgent', '!', 'your', 'mobile', 'no', '.', 'awarded', '£2000', 'bonus', 'caller', 'prize', '5/9/03', 'this', 'final', 'try', 'contact', 'u', '!', 'call', 'landline', '09064019788', 'box42wr29c', ',', '150ppm']",24
0,"['new', 'address', '-apples', '&', 'pair', '&', 'malarky']",7
1,"['todays', 'voda', 'number', 'ending', '7548', 'selected', 'receive', '$', '350', 'award', '.', 'if', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rate', 'app']",23
0,"['i', 'going', 'sao', 'mu', 'today', '.', 'will', 'done', '12']",9
0,"['ü', 'predict', 'wat', 'time', 'ü', ""'ll"", 'finish', 'buying', '?']",9
0,"['good', 'stuff', ',', '.']",4
0,"['just', 'know', ',', 'yetunde', ""n't"", 'sent', 'money', 'yet', '.', 'i', 'sent', 'text', 'bother', 'sending', '.', 'so', ',', 'dont', 'involve', 'anything', '.', 'i', ""n't"", 'imposed', 'anything', 'first', 'place', ',', 'apologise', '.']",30
0,"['are', 'room', '.']",3
0,"['hey', 'girl', '.', 'how', 'r', 'u', '?', 'hope', 'u', 'r', 'well', 'me', 'an', 'del', 'r', 'bak', '!', 'again', 'long', 'time', 'no', 'c', '!', 'give', 'me', 'a', 'call', 'sum', 'time', 'from', 'lucyxx']",31
0,"['k', '..', 'k', ':', ')', 'much', 'cost', '?']",8
0,"['i', ""'m"", 'home', '.']",4
0,"['dear', ',', 'call', 'tmorrow.pls', 'accomodate', '.']",6
0,"['first', 'answer', 'question', '.']",4
1,"['sunshine', 'quiz', 'wkly', 'q', '!', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', '?', 'txt', 'ansr', '82277', '.', '£1.50', 'sp', ':', 'tyrone']",23
1,"['want', '2', 'get', 'laid', 'tonight', '?', 'want', 'real', 'dogging', 'location', 'sent', 'direct', '2', 'ur', 'mob', '?', 'join', 'uk', ""'s"", 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', '69888', '!', 'nt', '.', 'ec2a', '.', '31p.msg', '@', '150p']",34
0,"['i', 'haf', 'msn', '.', 'it', ""'s"", 'yijue', '@', 'hotmail.com']",9
0,"['he', '.', 'you', 'call', 'meet']",5
0,"['no', '.', 'i', 'check', 'room', 'befor', 'activity']",7
1,"['you', ""'ll"", 'rcv', 'msg', 'chat', 'svc', '.', 'for', 'free', 'hardcore', 'service', 'text', 'go', ':', '69988', 'if', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', '&', 'try']",27
0,"['got', 'c', '...', 'i', 'lazy', 'type', '...', 'i', 'forgot', 'ü', 'lect', '...', 'i', 'saw', 'pouch', 'like', 'v', 'nice', '...']",19
0,"['k', ',', 'text', ""'re"", 'way']",5
0,"['sir', ',', 'waiting', 'mail', '.']",5
0,"['a', 'swt', 'thought', ':', '``', 'nver', 'get', 'tired', 'little', 'thing', '4', 'lovable', 'person', '..', ""''"", 'coz', '..', 'somtimes', 'little', 'thing', 'occupy', 'biggest', 'part', 'hearts', '..', 'gud', 'ni8']",27
0,"['i', 'know', '.', 'can', 'pls', 'open', 'back', '?']",8
0,"['yes', 'see', 'ya', 'dot']",4
0,"['whats', 'staff', 'name', 'taking', 'class', 'u', '?']",7
1,"['freemsg', 'why', ""n't"", 'replied', 'text', '?', 'i', ""'m"", 'randy', ',', 'sexy', ',', 'female', 'live', 'local', '.', 'luv', 'hear', 'u.', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'reply', 'stop', 'end']",27
0,"['ummma.will', 'call', 'check', 'in.our', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard', '.']",11
0,"['k', '..', 'deleted', 'contact', '?']",5
0,"['sindu', 'got', 'job', 'birla', 'soft', '..']",6
0,"['the', 'wine', 'flowing', ""'m"", 'nevering', '..']",6
0,"['yup', 'thk', 'cine', 'better', 'co', 'need', '2', 'go', '2', 'plaza', 'mah', '.']",12
0,"['ok', '...', 'ur', 'typical', 'reply', '...']",6
0,"['as', 'per', 'request', ""'melle"", 'melle', '(', 'oru', 'minnaminunginte', 'nurungu', 'vettam', ')', ""'"", 'set', 'callertune', 'callers', '.', 'press', '*', '9', 'copy', 'friend', 'callertune']",22
0,"['you', 'everywhere', 'dirt', ',', 'floor', ',', 'window', ',', 'even', 'shirt', '.', 'and', 'sometimes', 'open', 'mouth', ',', 'come', 'flowing', '.', 'i', 'dream', 'world', 'without', ',', 'half', 'chore', '.', 'a', 'time', 'joy', ',', 'lot', 'tv', 'show', 'i.ll', 'see', '.', 'but', 'guess', 'like', 'thing', 'must', 'exist', ',', 'like', 'rain', ',', 'hail', 'mist', ',', 'time', 'done', ',', 'become', 'one', '.']",56
0,"['aaooooright', 'work', '?']",3
0,"['i', ""'m"", 'leaving', 'house', '...']",5
0,"['hello', ',', 'love', '.', 'what', '?', 'did', 'get', 'interview', 'today', '?', 'are', 'happy', '?', 'are', 'good', 'boy', '?', 'do', 'think', '?', 'are', 'missing', '?']",24
1,"['customer', 'service', 'annoncement', '.', 'you', 'new', 'years', 'delivery', 'waiting', '.', 'please', 'call', '07046744435', 'arrange', 'delivery']",15
1,"['you', 'winner', 'u', 'specially', 'selected', '2', 'receive', '£1000', 'cash', '4', '*', 'holiday', '(', 'flight', 'inc', ')', 'speak', 'live', 'operator', '2', 'claim', '0871277810810']",22
0,"['keep', 'safe', 'i', 'need', 'i', 'miss', 'already', 'i', 'envy', 'everyone', 'see', ""'s"", 'real', 'life']",14
0,"['new', 'car', 'house', 'parent', '.', ':', ')', 'new', 'job', 'hand', ':', ')']",12
0,"['i', ""'m"", 'love', '.', 'i', ""'m"", 'excited', 'day', 'spend', '.', 'you', 'make', 'happy', '.']",14
1,"['-pls', 'stop', 'bootydelious', '(', '32/f', ')', 'inviting', 'friend', '.', 'reply', 'yes-434', 'no-434', 'see', ':', 'www.sms.ac/u/bootydelious', 'stop', '?', 'send', 'stop', 'frnd', '62468']",21
1,"['bangbabes', 'ur', 'order', 'way', '.', 'u', 'should', 'receive', 'service', 'msg', '2', 'download', 'ur', 'content', '.', 'if', 'u', ',', 'goto', 'wap', '.', 'bangb', '.', 'tv', 'ur', 'mobile', 'internet/service', 'menu']",28
0,"['i', 'place', 'ur', 'point', 'e', 'culture', 'module', 'already', '.']",9
1,"['urgent', '!', 'we', 'trying', 'contact', '.', 'last', 'weekend', 'draw', 'show', '£900', 'prize', 'guaranteed', '.', 'call', '09061701939', '.', 'claim', 'code', 's89', '.', 'valid', '12hrs']",23
0,"['hi', 'frnd', ',', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'one', ""'s"", '?']",12
0,"['great', 'escape', '.', 'i', 'fancy', 'bridge', 'need', 'lager', '.', 'see', 'tomo']",11
0,"['yes', ':', ')', 'completely', 'form', ':', ')', 'clark', 'also', 'utter', 'waste', '.']",12
0,"['sir', ',', 'i', 'need', 'axis', 'bank', 'account', 'bank', 'address', '.']",10
0,"['hmmm', '..', 'thk', 'sure', 'got', 'time', 'hop', 'ard', '...', 'ya', ',', 'go', '4', 'free', 'abt', '...', 'muz', 'call', 'u', 'discus', 'liao', '...']",22
0,"['what', 'time', 'coming', 'later', '?']",5
0,"['bloody', 'hell', ',', 'cant', 'believe', 'forgot', 'surname', 'mr', '.', 'ill', 'give', 'u', 'clue', ',', 'spanish', 'begin', '...']",17
0,"['well', ',', ""'m"", 'gon', 'na', 'finish', 'bath', '.', 'have', 'good', '...', 'fine', 'night', '.']",14
0,"['let', 'know', ""'ve"", 'got', 'money', 'carlos', 'make', 'call']",8
0,"['u', 'still', 'going', 'mall', '?']",5
0,"['turns', 'friend', 'staying', 'whole', 'show', 'wo', ""n't"", 'back', 'til', '~', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'feel', 'free', 'go', 'ahead', 'smoke', '$', '&', 'lt', ';', '#', '&', 'gt', ';', 'worth']",32
0,"['text', '.', 'if', 'doesnt', 'reply', 'let', 'know', 'log']",8
0,"['hi', '!', 'you', 'spoke', 'maneesha', 'v.', 'we', ""'d"", 'like', 'know', 'satisfied', 'experience', '.', 'reply', 'toll', 'free', 'yes', 'no', '.']",19
0,"['you', 'lifted', 'hope', 'offer', 'money', '.', 'i', 'need', '.', 'especially', 'end', 'month', 'approach', 'hurt', 'studying', '.', 'anyways', 'gr8', 'weekend']",19
0,"['lol', '.', 'u', 'trust', '.']",5
0,"['ok', '.', 'i', 'gentleman', 'treat', 'dignity', 'respect', '.']",8
0,"['he', ',', 'guy', 'close', '?']",5
0,"['going', 'nothing', 'great.bye']",3
0,"['hello', 'handsome', '!', 'are', 'finding', 'job', '?', 'not', 'lazy', '?', 'working', 'towards', 'getting', 'back', 'net', 'mummy', '?', 'where', ""'s"", 'boytoy', '?', 'does', 'miss', '?']",24
0,"['haha', 'awesome', ',', 'minute']",4
1,"['please', 'call', 'customer', 'service', 'representative', 'freephone', '0808', '145', '4742', '9am-11pm', 'won', 'guaranteed', '£1000', 'cash', '£5000', 'prize', '!']",17
0,"['have', 'got', 'xmas', 'radio', 'time', '.', 'if', 'get']",8
0,"['i', 'jus', 'reached', 'home', '.', 'i', 'go', 'bathe', 'first', '.', 'but', 'si', 'using', 'net', 'tell', 'u', 'finish', 'k', '...']",19
1,"['are', 'unique', 'enough', '?', 'find', '30th', 'august', '.', 'www.areyouunique.co.uk']",9
0,"['i', ""'m"", 'sorry', '.', 'i', ""'ve"", 'joined', 'league', 'people', 'dont', 'keep', 'touch', '.', 'you', 'mean', 'great', 'deal', '.', 'you', 'friend', 'time', 'even', 'great', 'personal', 'cost', '.', 'do', 'great', 'week.|']",29
0,"['hi', ':', ')', 'finally', 'completed', 'course', ':', ')']",8
0,"['it', 'stop', '.', 'i', 'however', 'suggest', 'stay', 'someone', 'able', 'give', 'or', 'every', 'stool', '.']",14
0,"['how', '?', 'hope', ""'ve"", 'settled', 'new', 'school', 'year', '.', 'just', 'wishin', 'gr8', 'day']",13
0,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']",6
0,"['did', 'u', 'got', 'person', 'story']",5
0,"['hamster', 'dead', '?', 'hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt', '?']",10
0,"['hi', 'kate', 'evening', '?', 'i', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', '!', 'txt', 'back', 'u', '.', ':', ')', 'xxx']",19
